Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
0.001713;0.645165;-0.025326;0.042786;1765706;-0.018190;0.001773;0.692325;0.006779;0.050321;1214928;0.014272;-0.191706;0.178660;-0.933855;-0.084736;0.877554;-0.258489;0.870023;-0.356348;-0.152677;-0.088418;0.872878;0.264096
0.001433;0.645226;-0.024802;0.042736;1765700;-0.017947;0.001800;0.692363;0.006794;0.050328;1214922;0.014280;-0.191906;0.179617;-0.933296;-0.085248;0.877823;-0.258430;0.870408;-0.355932;-0.151592;-0.088308;0.872743;0.264141
0.001404;0.645107;-0.024386;0.042700;1765727;-0.017720;0.001816;0.692404;0.006783;0.050309;1214915;0.014298;-0.192021;0.179789;-0.933122;-0.085664;0.878028;-0.258456;0.870680;-0.355540;-0.151085;-0.088105;0.872662;0.264129
0.001535;0.644974;-0.024282;0.042605;1765724;-0.017516;0.001670;0.692406;0.006691;0.050211;1214920;0.014335;-0.192139;0.179628;-0.933171;-0.085955;0.878197;-0.258559;0.870914;-0.355183;-0.151082;-0.087879;0.872555;0.264034
0.001248;0.644972;-0.024305;0.042455;1765766;-0.017292;0.001510;0.692429;0.006640;0.050107;1214940;0.014410;-0.192150;0.179207;-0.933352;-0.086136;0.878342;-0.258693;0.871144;-0.354857;-0.151177;-0.087637;0.872419;0.263941
0.000982;0.644883;-0.024440;0.042295;1765759;-0.017076;0.001485;0.692418;0.006678;0.050066;1214937;0.014473;-0.192412;0.178909;-0.933399;-0.086253;0.878429;-0.258859;0.871463;-0.354246;-0.151226;-0.087363;0.872226;0.263867
0.000836;0.644680;-0.024390;0.042155;1765750;-0.016875;0.001489;0.692386;0.006684;0.050021;1214914;0.014509;-0.192402;0.179411;-0.933335;-0.086347;0.878444;-0.259057;0.871596;-0.353895;-0.151486;-0.087115;0.872008;0.263826
0.000588;0.644362;-0.024240;0.042035;1765750;-0.016647;0.001530;0.692327;0.006699;0.050004;1214912;0.014544;-0.191958;0.180380;-0.933161;-0.086463;0.878490;-0.259238;0.871648;-0.353827;-0.151629;-0.086923;0.871883;0.263759
0.000285;0.644036;-0.024045;0.041944;1765772;-0.016410;0.001548;0.692266;0.006767;0.049983;1214907;0.014595;-0.191845;0.180834;-0.933031;-0.086584;0.878555;-0.259352;0.871680;-0.353955;-0.151478;-0.086772;0.871838;0.263660
0.000088;0.643723;-0.023939;0.041836;1765771;-0.016215;0.001463;0.692158;0.006688;0.049902;1214906;0.014626;-0.192050;0.181157;-0.932885;-0.086774;0.878587;-0.259402;0.871624;-0.354173;-0.151454;-0.086648;0.871765;0.263568
0.000021;0.643443;-0.023819;0.041765;1765776;-0.016065;0.001443;0.692246;0.006792;0.049718;1214890;0.014361;-0.192343;0.181625;-0.932770;-0.086953;0.878623;-0.259435;0.871636;-0.354017;-0.151637;-0.086551;0.871696;0.263540
-0.000002;0.643248;-0.023674;0.041690;1765772;-0.015929;0.001419;0.692202;0.006792;0.049703;1214884;0.014382;-0.192495;0.181724;-0.932772;-0.087158;0.878669;-0.259420;0.871565;-0.354077;-0.151812;-0.086506;0.871622;0.263530
